2026-07-17 13:54:39,674 | INFO | audit | action=auth.login user_id=59ada717-b268-40ef-934e-99bd88cf9e6f patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:54:39.674129+00:00
2026-07-17 13:54:42,286 | INFO | audit | action=auth.logout user_id=59ada717-b268-40ef-934e-99bd88cf9e6f patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:54:42.285973+00:00
2026-07-17 13:54:46,395 | INFO | audit | action=auth.login user_id=59ada717-b268-40ef-934e-99bd88cf9e6f patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:54:46.395422+00:00
2026-07-17 17:52:00,230 | INFO | audit | action=auth.refresh user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T16:52:00.230877+00:00
2026-07-17 18:52:12,960 | INFO | audit | action=auth.login user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T17:52:12.960857+00:00
2026-07-17 18:56:39,014 | INFO | audit | action=auth.refresh user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T17:56:39.014040+00:00
2026-07-17 19:56:12,862 | INFO | audit | action=auth.refresh user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T18:56:12.862108+00:00
2026-07-17 19:56:12,883 | INFO | audit | action=auth.refresh user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T18:56:12.883700+00:00
2026-07-17 20:19:08,884 | INFO | audit | action=auth.refresh user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T19:19:08.884132+00:00
2026-07-17 20:19:08,929 | INFO | audit | action=auth.refresh user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T19:19:08.929722+00:00
